"sp","ba","Latin","n","prop_ba","prop_n","adj_ba","adj_n"
"ardiba",0.00103044239037745,"Ardisia bartlettii",6,6.52365834008745e-07,2.8885176608784e-05,1532882.23856707,34619.8333333333
"ardife",0.143204003326747,"Ardisia fendleri",133,9.06614478752412e-05,0.000640288081494712,11030.0466563924,1561.7969924812
"ardigu",0.00651252157089164,"Ardisia guianensis",19,4.12303162774429e-06,9.14697259278159e-05,242539.977930535,10932.5789473684
"aspicr",12.5793940867046,"Aspidosperma cruentum",491,0.00796392597134104,0.00236377028581882,125.566209881734,423.052953156823
"ast1st",1.93316176062688,"Astrocaryum standleyanum",133,0.00122387112178413,0.000640288081494712,817.07949652593,1561.7969924812
"ast2gr",4.34495929919512,"Astronium graveolens",132,0.00275076319008498,0.000635473885393248,363.535473938455,1573.62878787879
"bactba",0.0066468246568326,"Bactris barronis",4,4.20805796739025e-06,1.9256784405856e-05,237639.311946118,51929.75
"bactc1",0.0578485017250391,"Bactris coloniata",54,3.66234798048126e-05,0.000259966589479056,27304.8876111601,3846.64814814815
"bactma",0.556055616500086,"Bactris major",94,0.000352034902097194,0.000452534433537616,2840.62743223087,2209.77659574468
"beilpe",27.5816213415714,"Beilschmiedia tovarensis",1891,0.0174617305905055,0.00910364482786842,57.2680923472574,109.846113167636
"brosal",25.8084067023186,"Brosimum alicastrum",857,0.0163391208669392,0.00412576605895465,61.2028032685293,242.379229871645
"brosgu",0.00851135989673815,"Brosimum guianense",4,5.38848212130546e-06,1.9256784405856e-05,185581.018455292,51929.75
"calolo",6.10091088681647,"Calophyllum longifolium",2174,0.00386244379701146,0.0104660623245827,258.903443662725,95.5469181232751
"cappfr",1.96489655881712,"Capparidastrum frondosum",2222,0.00124396219944339,0.010697143737453,803.882947928358,93.482898289829
"caseac",0.785230088190481,"Casearia aculeata",466,0.000497123649177033,0.00224341538328222,2011.57197340231,445.748927038627
"casear",3.34913411826757,"Casearia arborea",104,0.00212031326804252,0.000500676394552256,471.628421645072,1997.29807692308
"caseco",0.0751296175142731,"Casearia commersoniana",21,4.75640327359821e-05,0.000101098118130744,21024.289625541,9891.38095238095
"casegu",0.0306635150953632,"Casearia guianensis",12,1.94128558623242e-05,5.7770353217568e-05,51512.2559551252,17309.9166666667
"casesy",0.83793266114894,"Casearia sylvestris",127,0.000530489277652253,0.000611402904885928,1885.05223786167,1635.58267716535
"cassel",3.86002227178883,"Cassipourea elliptica",1097,0.00244375296682569,0.005281173123306,409.206664329476,189.351868732908
"cavapl",29.6889639944876,"Cavanillesia platanifolia",38,0.0187958744108197,0.000182939451855632,53.203164595756,5466.28947368421
"cecrin",19.5124398254278,"Cecropia insignis",1371,0.0123531884937283,0.00660026285510714,80.9507602436161,151.509117432531
